search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
endoscopias en salud digna,NONE,Endoscopia,Endoscopy - Core,3,2,0.6667,62.84,1,62.84
colonoscopia chopo precio,NONE,Colonoscopia,Colonoscopy - Pricing,3,1,0.3333,62.76,0,
costo de endoscopia,ADDED,Endoscopia,Endoscopy Prices,22,3,0.1364,62.46,0,
cirugia endoscopica,NONE,Endoscopia,Endoscopy - Core,2,2,1,62.32,0,
ligas hemorroides,NONE,Hemorroides,Hemorroides - Core,2,1,0.5,61.83,0,
para que sirve el estudio de colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,16,1,0.0625,61.61,0,
como es una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,7,1,0.1429,61.42,0,
que es una colonoscopia y para que sirve,NONE,Colon Max Conversions,Colonoscopy - Core,11,2,0.1818,61.24,0,
como es el examen de colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,61.14,0,
cuanto cuesta una colonoscopia en el chopo,NONE,Colonoscopia,Colonoscopy - Pricing,4,2,0.5,61.1,0,
costo de colonoscopia,ADDED,Colonoscopia,Colonoscopy - Pricing,10,2,0.2,61.0,0,
como se hace una endoscopia gastrointestinal,NONE,Endoscopia,Endoscopy - Core,6,2,0.3333,60.82,0,
